ImageNumber,ObjectNumber,Correlation_Correlation_ERSytoBleed_PhGolgi,Correlation_Correlation_ERSyto_ERSytoBleed,Correlation_Correlation_ERSyto_PhGolgi,Correlation_Correlation_Hoechst_ERSyto,Correlation_Correlation_Hoechst_ERSytoBleed,Correlation_Correlation_Hoechst_Mito,Correlation_Correlation_Hoechst_PhGolgi,Correlation_Correlation_Mito_ERSyto,Correlation_Correlation_Mito_ERSytoBleed,Correlation_Correlation_Mito_PhGolgi
1,1,0.706052333757,0.763851010834,0.576785442731,0.255523477438,0.638745126948,0.481875021129,0.353304393931,0.86329582685,0.909036086016,0.688212593329
1,2,0.649474916613,0.905422738278,0.726893577023,0.780779740861,0.811467683178,0.771887179142,0.33030279175,0.946905993323,0.964589175386,0.750785218003
1,3,0.667118400729,0.890476200537,0.661839674405,0.621554520871,0.720809501109,0.740805089625,0.444173143327,0.930978418258,0.950654137421,0.69628740935
1,4,0.230891772577,0.756555165972,0.326433494403,0.345680426994,0.732885797672,0.55157089578,0.0374932015913,0.94838969618,0.859171946597,0.316050321011
1,5,0.398895611939,0.761988702823,0.298853426184,0.499740491281,0.817902203132,0.691660883571,0.345404720855,0.9360707926,0.891739996188,0.365073769168
1,6,0.0418265289562,0.689639260039,0.0849676915901,0.411379051075,0.768176630299,0.64512211227,-0.0239588237845,0.923342166037,0.852026240762,0.0709354665011
1,7,0.405303284088,0.805131719964,0.427842199087,0.53434982384,0.805616662073,0.685307687041,0.27336594092,0.957670279077,0.894313265923,0.438057553556
1,8,0.655505414886,0.804029768118,0.572548449207,0.384860829782,0.699651647214,0.595193318753,0.312983801362,0.931682729854,0.914536042667,0.6633537385
1,9,0.916040799469,0.943592782221,0.942612783247,0.611407730459,0.735535770603,0.677193200816,0.491953451184,0.977095707224,0.983378567023,0.947253198291
1,10,0.72899168462,0.932777740284,0.738537467177,0.720343920058,0.756948055949,0.762267629081,0.280165463598,0.95278889519,0.973516288671,0.763542496809
1,11,0.231906994911,0.586512264973,0.313377852562,0.294196365979,0.741065630816,0.369085235568,0.0369018644615,0.94910090608,0.584312586123,0.311319306208
1,12,0.251136000496,0.753326150493,0.221246631822,0.50254984173,0.792920034938,0.670349507504,0.208070004768,0.947649973973,0.861699013885,0.2349614539
1,13,0.740146969293,0.940564301083,0.72877990332,0.690402766925,0.74857762545,0.618256477749,0.513282200852,0.898298097264,0.925947982359,0.664723946858
1,14,0.271413340589,0.77396536706,0.225141228746,0.384789649791,0.744585390214,0.634622851587,0.0993173962239,0.929991931487,0.905395255656,0.277832261515
1,15,0.247506856626,0.800283479819,0.112207758597,0.606032971279,0.848947845701,0.752569884807,0.247907986522,0.947924526709,0.893722423695,0.158915829005
1,16,0.256010215257,0.846484013308,0.322978601254,0.662548781885,0.790867885339,0.775714937297,0.1126934682,0.941033363878,0.914220447135,0.301128841303
1,17,0.716569236859,0.907655871325,0.672205834374,0.659192032963,0.798833166767,0.783191437297,0.482376488407,0.948431169343,0.970510833349,0.6984465851
1,18,0.442742611235,0.809234494067,0.110750130525,0.535466314911,0.635479261253,0.622919403537,0.0374913065308,0.868202793644,0.936318413413,0.356576659889
1,19,0.255878339449,0.827440023394,0.111840426843,0.579440173181,0.813042476903,0.69360220757,0.0855557493969,0.958273630794,0.915387969002,0.174018772376
1,20,0.402804171661,0.792206719029,0.325647612876,0.359401391552,0.628512668589,0.588832676215,0.144193483973,0.916230227647,0.882743454072,0.433880457829
1,21,0.314476639069,0.7377362892,0.220427755815,0.465373389003,0.766217017032,0.647007598648,0.0980680864923,0.894415808996,0.861008821837,0.266785611377
1,22,0.393566746362,0.740982243573,0.330761800346,0.390448247121,0.722986781008,0.642437348426,0.216646450548,0.896238392436,0.888777987314,0.391619085671
1,23,0.303911788858,0.775984489584,0.197944745383,0.482215661462,0.809908648273,0.627059361931,0.167710091253,0.944560023279,0.855144256236,0.220659955625
1,24,0.338214561816,0.775470343397,0.170789810155,0.608025194605,0.843633432323,0.762619232662,0.270795056366,0.932036815598,0.87364877947,0.233124145787
